Country,River_name,Station_name,Lattitude,Longitude,Catchment_area,SSY_average,Measuring_period,MP_length,Runoff_average,Source_data,Method
Russia,Кара Койсу , Гунибский мост,42.38555,46.97030278,1460,661,2008-2015,8,,AIS GMVO,G/S measurements
Russia,Малка , пос.Хабаз,43.72724444,42.93650556,1080,149,1925-2002,78,,UGMS,G/S measurements
Russia,Сулак , ПГТ Сулак,43.27048056,47.51295833,15200,141,2008-2015,8,,AIS GMVO,G/S measurements
Russia,"Терек, рук.Новый Терек ", Каргалинский гидроузел,43.73266944,46.544,37400,417,"1925-2002, 2008-2015",86,,UGMS,G/S measurements
Russia,Фиагдон , пос.Верхний Фиагдон,42.83178611,44.29750556,238,274,"2008, 2010-2013, 2014-2015",6,,AIS GMVO,G/S measurements
Russia,Фиагдон , с.Тагардон,42.95936944,44.36843056,410,168,1925-2002,78,,UGMS,G/S measurements
Russia,Фортанга , с.Бамут,43.16445,45.20894722,498,870,1925-2002,78,,UGMS,G/S measurements
Russia,Чегем , В.Чегем (Эльтюбю),43.26907222,43.15561944,433,163,1925-2002,78,,UGMS,G/S measurements
Russia,Чегем1-й,с.Нижний Чегем,43.49211944,43.2914,739,302,2008-2013,6,,AIS GMVO,G/S measurements
Abhazia,Бзыбь,Джирхва,43.30730278,40.41063333,1410,303,"1934, 1935, 1954-1988",37,97.8,"Khmeleva et. al., 2000",Gauging Station measurements
Abhazia,Бзыбь,Пицундский мост,43.19363056,40.29605556,1510,470,1972-1988,17,123,"Khmeleva et. al., 2000",Gauging Station measurements
Abhazia,Анахомста,Устье,43.35901944,40.11850278,15.5,290,NA,NA,0.805,"Khmeleva et. al., 2000",Gauging Station measurements
Abhazia,Чигирипш,Устье,43.33828889,40.17083611,6.7,290,NA,NA,0.322,"Khmeleva et. al., 2000",Gauging Station measurements
Georgia,Чорохи,Эрге,41.55,41.7,22000,360,NA,20,,"Dedkov & Mozherin, 1984",
Georgia,Аджарисцкали,Кеда,41.6,41.95,1360,420,NA,7,,"Dedkov & Mozherin, 1984",
Georgia,Аджарисцкали,Хуло,41.63933333,42.31684167,251,1500,NA,20,,"Dedkov & Mozherin, 1984",
Georgia,Абаносцхали,Махиджаури,41.67733889,41.70060556,3.9,150,NA,10,,"Dedkov & Mozherin, 1984",
Georgia,Кинтриши,Кохи,41.80145556,41.89392222,191,59,NA,12,,"Dedkov & Mozherin, 1984",
Georgia,Чаквисцхали,Хала,41.70736667,41.78955,120,72,NA,11,,"Dedkov & Mozherin, 1984",
Georgia,Натанеби,Натанеби,41.91590833,41.80944444,469,130,NA,12,,"Dedkov & Mozherin, 1984",
Georgia,Супса,Хидмагала,42.03670833,41.79700556,1100,170,NA,15,,"Dedkov & Mozherin, 1984",
Georgia,Супса,Чохатаури,42.011275,42.236625,316,94,NA,10,,"Dedkov & Mozherin, 1984",
Georgia,Габазеули,Хидистави,41.97254167,42.21067222,337,170,NA,28,,"Dedkov & Mozherin, 1984",
Georgia,Риони,Кутаиси,42.247725,42.70117778,3540,890,NA,6,,"Dedkov & Mozherin, 1984",
Georgia,Риони,Алпана,42.56384444,42.84733889,2830,410,NA,9,,"Dedkov & Mozherin, 1984",
Georgia,Риони,Намохвани,42.41648056,42.69953611,3450,670,NA,29,,"Dedkov & Mozherin, 1984",
Georgia,Риони,Они,42.58172778,43.43191111,1060,230,NA,7,,"Dedkov & Mozherin, 1984",
Georgia,Риони,Уцера,42.63618056,43.545425,707,500,NA,10,,"Dedkov & Mozherin, 1984",
Georgia,Риони,Геби,42.76815278,43.50390278,222,440,NA,5,,"Dedkov & Mozherin, 1984",
Georgia,Шараула,Удабно,41.50813611,45.37478889,136,88,NA,6,,"Dedkov & Mozherin, 1984",
Georgia,Лаянура,Орбели,42.63333333,42.83333333,231,130,NA,16,,"Dedkov & Mozherin, 1984",
Georgia,Квирила,Нахширгели,42.20666944,42.81678056,3230,630,NA,9,,"Dedkov & Mozherin, 1984",
Georgia,Квирила,Застафони,42.10300556,43.03156944,2490,680,NA,11,,"Dedkov & Mozherin, 1984",
Georgia,Дзирули,Цева,42.09362222,43.12925556,1190,160,NA,11,,"Dedkov & Mozherin, 1984",
Georgia,Ханистскали,Дидвела,42.13228611,42.78001667,907,130,NA,9,,"Dedkov & Mozherin, 1984",
Georgia,Тскхенистскали,Хиди,42.41750556,42.48135556,1950,270,NA,18,,"Dedkov & Mozherin, 1984",
Georgia,Тскхенистскали,Зуби,42.56691944,42.6853,1700,1100,NA,11,,"Dedkov & Mozherin, 1984",
Georgia,Тскхенистскали,Рцхмелури,42.68491389,42.77068611,1450,870,NA,13,,"Dedkov & Mozherin, 1984",
Georgia,Тскхенистскали,Нагомари,42.66894722,42.76952778,1450,1200,NA,11,,"Dedkov & Mozherin, 1984",
Georgia,Тскхенистскали,Луджи,42.82183056,42.95602222,506,400,NA,2,,"Dedkov & Mozherin, 1984",
Georgia,Текхери,Накалаке,42.36676667,42.19566111,558,380,NA,7,,"Dedkov & Mozherin, 1984",
Georgia,Ингури,Анаклия,42.40475833,41.57193611,4040,470,NA,12,,"Dedkov & Mozherin, 1984",
Georgia,Ингури,Дарчели,42.42958889,41.662525,3640,680,NA,18,,"Dedkov & Mozherin, 1984",
Georgia,Ингури,Джвари,42.72176111,42.03138056,3170,580,NA,7,,"Dedkov & Mozherin, 1984",
Georgia,Ингури,Хаиши,42.94546111,42.1844,2780,270,NA,10,,"Dedkov & Mozherin, 1984",
Georgia,Ингури,Дизи,43.03760556,42.34795,1760,550,NA,19,,"Dedkov & Mozherin, 1984",
Georgia,Долра,Бечо,43.03358889,42.58480556,146,320,NA,8,,"Dedkov & Mozherin, 1984",
Georgia,Б. Эристскали,Речкхи,42.65232222,41.76360833,163,310,NA,8,,"Dedkov & Mozherin, 1984",
Abhazia,Кодори,Варча,42.83165278,41.15525833,2020,410,NA,9,,"Dedkov & Mozherin, 1984",
Abhazia,Кодори,Лата,43.03053333,41.48016944,1420,400,NA,10,,"Dedkov & Mozherin, 1984",
Abhazia,Гумиста,Ачадара,43.04068056,40.968875,556,170,NA,10,,"Dedkov & Mozherin, 1984",
